AÑO,ARTICULO,GRAMOS POR PERSONAS,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2007,Frutas 3_ /,157,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08
2007,Frijoles,79,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.11,0.14,0.18,0.16
2007,Verduras 4_ /,127,0.16,0.14,0.14,0.13,0.11,0.11,0.11,0.1,0.11,0.12,0.14,0.12
2007,Azúcar,69,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2008,Pan Francés,49,0.09,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11
2008,Tortillas,223,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15
2008,Arroz,55,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
2008,Carnes 1_ /,60,0.32,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.34,0.35
2008,Grasas 2 _ /,33,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.09,0.09,0.09
2008,Huevos,28,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
2008,Leche Fluida *,106,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1
2008,Frutas 3_ /,157,0.08,0.09,0.09,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.09
2008,Frijoles,79,0.16,0.17,0.16,0.15,0.16,0.18,0.2,0.2,0.17,0.16,0.15,0.15
2008,Verduras 4_ /,127,0.12,0.1,0.1,0.1,0.12,0.13,0.14,0.13,0.14,0.14,0.15,0.16
2008,Azúcar,69,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2009,Pan Francés,49,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11
2009,Tortillas,223,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14
2009,Arroz,55,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2009,Carnes 1_ /,60,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
2009,Grasas 2 _ /,33,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2009,Huevos,28,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2009,Leche Fluida *,106,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2009,Frutas 3_ /,157,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09
2009,Frijoles,79,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.1
2009,Verduras 4_ /,127,0.13,0.11,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.12,0.11,0.11
2009,Azúcar,69,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2010,Pan Francés,49,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
2010,Tortillas,223,0.14,0.14,0.16,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15
2010,Arroz,55,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07
2010,Carnes 1_ /,60,0.34,0.33,0.33,0.34,0.33,0.34,0.34,0.33,0.33,0.33,0.33,0.33
2010,Grasas 2 _ /,33,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08
2010,Huevos,28,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.08
2010,Leche Fluida *,106,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
2010,Frutas 3_ /,157,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.11
2010,Frijoles,79,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.12,0.15,0.19,0.22,0.21
2010,Verduras 4_ /,127,0.14,0.15,0.17,0.17,0.16,0.2,0.19,0.16,0.16,0.18,0.18,0.16
2010,Azúcar,69,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2011,Pan Francés,49,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1
2011,Tortillas,223,0.16,0.17,0.17,0.19,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2
2011,Arroz,55,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2011,Carnes 1_ /,60,0.33,0.34,0.34,0.33,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34
2011,Grasas 2 _ /,33,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
2011,Huevos,28,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2011,Leche Fluida *,106,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
2011,Frutas 3_ /,157,0.11,0.11,0.11,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11
2011,Frijoles,79,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.2,0.18,0.17,0.16,0.15
2011,Verduras 4_ /,127,0.14,0.12,0.11,0.12,0.13,0.14,0.16,0.16,0.14,0.15,0.17,0.16
2011,Azúcar,69,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.06
2012,Pan Francés,49,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.1,0.11,0.11,0.11
2012,Tortillas,223,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17
2012,Arroz,55,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2012,Carnes 1_ /,60,0.34,0.34,0.34,0.34,0.35,0.35,0.36,0.36,0.36,0.36,0.36,0.36
2012,Grasas 2 _ /,33,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
2012,Huevos,28,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2012,Leche Fluida *,106,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
